Origin code,Origin name
SOQ20400,"TEMINABUAN,KAB.SORONG SELATAN"
SOQ20404,"AYAMARU,TEMINABUAN"
SRG10000,SEMARANG
SRG10100,"JEPARA,KAB.JEPARA"
SRG10200,"KUDUS,KAB.KUDUS"
SRG10300,PEKALONGAN
SRG20200,"BATANG ,KAB BATANG"
SRG20300,"BLORA,KAB.BLORA"
SRG20309,"CEPU,BLORA"
SRG20400,"BOJONEGORO,KAB.BOJONEGORO"
SRG20700,DEMAK
SRG20800,"KENDAL,KAB.KENDAL"
SRG20900,"PATI,KAB.PATI"
SRG21000,"PEMALANG,KAB.PEMALANG"
SRG21100,"PURWODADI,KAB.GROBOGAN"
SRG21200,"REMBANG,KAB.REMBANG"
SRG21300,SALATIGA
SRG21600,UNGARAN
SRG21602,"AMBARAWA, UNGARAN"
SRG21700,"PURBALINGGA,KAB.PURBALINGGA"
SRG21800,"BANJARNEGARA,KAB.BANJARNEGARA"
SUB10000,SURABAYA
SUB10100,"GRESIK,KAB.GRESIK"
SUB10200,"LAMONGAN,KAB.LAMONGAN"
SUB20100,"BANGKALAN,KAB.BANGKALAN"
SUB20500,"PAMEKASAN,KAB.PAMEKASAN"
SUB20600,"SAMPANG,KAB.SAMPANG"
SUB20800,"SUMENEP,KAB.SUMENEP"
SUB20900,"TUBAN,KAB.TUBAN"
TGL10000,TEGAL
TGL10200,"SLAWI,KAB.TEGAL"
TGL20000,"BREBES,KAB.BREBES"
TGL20002,"BUMIAYU,BREBES"
TGL30000,"PURWOKERTO, BANYUMAS"
TGR10000,TANGERANG
TIM10000,TIMIKA
TJQ10000,TANJUNGPANDAN
TJQ10100,"MANGGAR,KAB.BELITUNG TIMUR"
TJQ10102,"GANTUNG,BELITUNG TIMUR"
TJQ10103,"KELAPA KAMPIT,BELITUNG TIMUR"
TKG10000,BANDARLAMPUNG
TKG20100,"KALIANDA, KAB.LAMPUNG SELATAN"
TKG20104,"TANJUNG BINTANG, LAMPUNG SEL"
TKG20106,"JATI AGUNG, KAB.LAMPUNG SEL"
TKG20107,"KATIBUNG, KAB.LAMPUNG SELATAN"
TKG20200,"KOTABUMI, KAB.LAMPUNG UTARA"
TKG20300,"METRO, KOTA METRO"
TKG20400,"LIWA, LAMPUNG BARAT"
TKG20404,"KRUI, PESISIR BARAT"
TKG20906,TERBANGGIBESAR / BANDARJAYA
TKG21008,"WAY JEPARA, SUKADANA"
TKG21102,"BARADATU, BLAMPANGAN UMPU"
TKG21201,"MESUJI, MESUJI"
TKG21204,"BANJAR AGUNG, MENGGALA"
TKG21214,"TUMIJAJAR, MENGGALA"
TKG21300,"KOTA AGUNG, KAB.TANGGAMUS"
TKG21303,"PRINGSEWU, PRINGSEWU"
TKG21400,"GEDONG TATAAN,KAB.PESAWARAN"
TNJ10000,TANJUNGPINANG
TNJ10102,"BINTAN UTARA, KAB.BINTAN"
TRK10000,TARAKAN
TRK20100,"TANJUNG SELOR, KAB BULUNGAN"
TRK20105,"PULAU BUNYU, TANJUNGSELOR"
TRK20200,"MALINAU, KAB MALINAU"
TRK20300,"NUNUKAN, KAB NUNUKAN"
TRK20301,"KRAYAN, NUNUKAN"
TRK20304,"SEBATIK , NUNUKAN"
TRK20400,"TANA TIDUNG, KAB TANA TIDUNG"
TSM10000,TASIKMALAYA
TSM10100,"SINGAPARNA , TASIKMALAYA"
TSM20000,"BANJAR , BANJAR"
TSM30000,"CIAMIS , CIAMIS"
TSM40000,"PANGANDARAN , PANGANDARAN"
TTE10000,TERNATE
TTE20200,JAILOLO
TTE20300,LABUHA
TTE20307,"OBI,LABUHA"
TTE20400,"WEDA,KAB.HALMAHERA TENGAH"
TTE20500,"MABA,KAB.HALMAHERA TIMUR"
TTE20501,"MABA SELATAN,MABA"
TTE20600,"TOBELO,KAB.HALMAHERA UTARA"
TTE20700,"SANANA,KAB.KEP.SULA"
TTE20800,TIDORE
TTE20802,"OBA UTARA,TIDORE"
TTE20900,"MOROTAI TIMUR,PULAU MOROTAI"
UPG10000,MAKASAR
UPG20100,"BANTAENG,KAB.BANTAENG"
UPG20200,"BARRU,KAB.BARRU"
UPG20300,BULUKUMBA
UPG20400,"ENREKANG,KAB.ENREKANG"
UPG20500,"JENEPONTO,KAB.JENEPONTO"
UPG20600,"MAKALE,KAB.TANA TORAJA"
UPG20605,RANTEPAO KAB. TANA TORAJA UTR
UPG20700,"MAMUJU,MAMUJU"
UPG20715,"TOPOYO,MAMUJU"
UPG20800,MAROS
UPG20900,"MAJENE,MAJENE"
UPG21000,PALOPO
UPG21100,PINRANG
UPG21200,"POLEWALI,POLEWALI MANDAR"
UPG21208,"WONOMULYO,POLEWALI MANDAR"
UPG21300,"SIDENRENG,KAB.SIDENRENG"
